mom_name,mom_ID,family,mom_2_tusks,mom_0_tusks,mom_left_tusk,mom_right_tusk,mom_accuracy,notes,first_date_calf_recorded,calf_age_years,calf_age_months,calf_age_weeks,calf_age_days,calf_ID,estim_year_birth,calf_female,calf_male,calf_sex,sex_confirmed_2020,sex_confirmed,calf_2_tusks,calf_0_tusks,calf_left_tusk,calf_right_tusk
Berta,gf0009,B,,1,,,4,"20121022: “gf0009 has a brand new baby a couple days old or younger”. Notes from 2012 footage: “Berta, Gf0009, matriarch of the B family, is in group with Emilia, gf0161, and others. Berta is Listening. She has a newborn on  her left side and a 4.5 year old calf on her right - out of view. She has a newborn and a 4.5 year old calf both of whom were DOUBLE-SUCKLING before this clip starts.The older calf comes around to our side and Solicit-Suckling  x 2 but fails due to Berta's concern about us. The calf goes back to other side. 20150529 seen Suckling; also in 20161026 video",20121022,0.005,,,2,gf0009c,2012,1,,f,√,yes,1,,,
,gf0125,T,,1,,,4,20150613 seen with tiny infant on trail cameras; 20160826 calf present,20150613,0.02,,1,,gf0125,2015,1,,f,√,,,,,
,gf0097,N,,1,,,4,20160623 I think I seen an infant with her; 20161030 is photographed on a trail camera with an infant - there is an allomother hanging around,20161030,0.02,,1,,gf0097,2016,,,unk,,,,,,
iJunia,gf0005,I,,1,,,4,20121019 first recorded with gf0005 as an infant; seen many times with gf0005 as an infant and as a calf;,20121019,0.06,,3,,Immaculata,2012,1,,f,√,yes,,1,,
Camelia,gf0028,C,,1,,,4,20121019 seen Suckling from her as a newborn; 2017 in close association two days in a row and begging from her mother for a piece of palm; also with her on video footage from 20161024,20121019,0.08,1,,,gf0028c,2012,1,,f,√,yes,1,,,
,gf0153,C,,1,,,4,20161022 on trail cameras photographed Suckling; 20171026: 1 year calf SUCKLING from gf0153,20171026,0.08,1,,,gf0153c,2016,1,,f,√,yes,,,,
Camelia,gf0028,C,,1,,,4,20190930 seen Suckling;  20191006 infant <1 yr following her,20190930,0.08,1,,,gf0028c,2019,,1,m,√,yes,,,,
Cacia,gf0029,C,,1,,,4,Note on 2012 footage she has a very thin infant (c2012) with what looks like a dislocated right hip by her side. This juvenile seen leaning on her on 20161027 and with her on 20190930,2012,0.33,4,,,gf0029c  dislocated hip,2012,1,,f,√,yes,1,,,
Camelia,gf0028,C,,1,,,4,in close association two days in a row,2019,0.5,6,,,gf0028c,2015,1,,f,√,yes,1,,,
,gf0080,C,,1,,,4,2013 filmed with a female calf ~6 months old; 20151013 with Trail camera image; 20161029 has a ~ 4 year female with tusks near her; again on 20161024,201308,0.5,6,,,gf0080c,2013,1,,f,√,,1,,,
Tatiana,gf0131,T,,1,,,4,20150611 From ID card and trail camera photo taken 2015 with a closely associated female calf about 8 months and a male 5,20150611,0.66,8,,,gf0131c,2014,1,,f,√,,,,,
,gf0070,T,,1,,,4,20150612 seen with her on trail camera photos; 20160823 photographed by her side on trail cameras.,20150612,0.66,8,,,gf0070,2014,,,unk,,,,,,
Mwana Nzo,gf0016,M,,1,,,4,2013-10-19 A six yr male who was suckling Mwana Nzo and a few minutes later a less than 1 yr calf was Suckling her; possibly due to very rich habitat; photographed suckling younger again on 20161102; 20161024 in EV video footage a 4 year female by her side with tusks (SUCKLING TWO CALVES),20131019,0.7,8,,,gf0016c,2012,1,,f ,√,yes,1,,,
,gf0128,T,,1,,,4,20161104 photographed Suckling on trail camera,20161104,0.8,,,,,2015,,,unk,,,,,,
,gf0070,T,,1,,,4,20131012 seen with her in a small group,20131012,0.83,10,,,gf0070c,2013,1,,f,√,yes,,1,,
,gf0213,T,,1,,,4,20160826 from Trail camera notes: gf0213 has an infant 1 yr and a four year female and a 6 year one right tusk female with her. Perhaps the one tusk is olde or belongs to someone else.,20160826,0.83,10,,,gf0213c,2015,1,,f,√,,,,,
,gf0140,N,,1,,,4,2016072 photographed on trail cameras with a 11 month calf; 20160908 photographed again on trail cameras,2016072,0.83,10,,,gf0140c,2015,,1,m,,,,,,
,gf0215,,,1,,,4,20161020 photographed on trail cameras with infant - she has a crooked tail,20161020,0.83,10,,,20161020,2016,,,unk,,,,,,
Malita,gf0014,M,,1,,,4,20131014 seen in close association with her and on other days,20131014,1,,,,gf0014c,2012,1,,f,√,yes (tuskless),,1,,
Iria,gf0045,I,,1,,,4,20191009 seen with a calf ~ 1 year,20191009,1,,,,gf0045c,2018,,1,m,,,,,,
Iria,gf0045,I,,1,,,4,"20171009 photographed DOUBLE-SUCKLING c2011 female and male early c2016 with no sign of tusks yet but almost 2; 20160513 she is followed by Ibbie and three small calves: a male  almost 2 (no tusks), a female ~5 and an infant; 20160522 photographed infant standing right next to her but also a female with just emerging tusks; 20161031 seen DOUBLE-SUCKLING 2011 female calf and 2016 male calf;",20171009,1,,,,gf0045c,2016,,1,m,,,,,,
,gf0060,DB,,1,,,4,20160719 seen with a 1 year calf,20160719,1,,,,gf0060c,2015,,,unk,,,,,,
,gf0068,V,,1,,,4,20161010 seen resting against where looked to be almost 2; 20170526 1156 photographed Suckling and ,20161010,1,,,,gf0068c,2015,,,unk,,,,,,
Aurora,gf0112,A,,1,,,4,20150530 photographed in close association; following ,20150530,1,,,,gf0112c,2014,,,unk,,,,,,
Ibbie,gf0156,I,,1,,,4,20171016 she was noted as pregnant; 20191009 seen with a calf about 1 year ,20171016,1,,,,gf0156c,2018,,,unk,,,,,,
Mwana Nzo,gf0016,M,,1,,,4,20171013 photographed following her closely; 20161024 also in EV video footage a <2 year old sticking with her orienting toward her - note we saw her in oestrus in May 2016 when this calf would have been about a year,20161024,1.5,,,,gf0016c,2015,1,,f,√,yes,,1,,
Nomada,gf0003,C,,1,,,4,20190929 with her in a group of 4; 20191006 following her;,20190929,2,,,,gf0003c,2017,1,,f,√,yes,,,,
,gf0027,M,,1,,,4,20151024 photographed being Suckled by a calf,20151024,2,,,,gf0027c,2013,1,,f,√,yes (tuskless),,1,,
Isabella,gf0038,I,,1,,,4,20161016 Photographed Suckling her and in 2017; Twice Photographed DOUBLE-SUCKLING her with 2011 calf (ck dates),20161016,2,,,,gf0038c,2014,1,,f,√,yes (tuskless),,1,,
Ines,gf0048,I,,1,,,4,20160522 seen in physical contact; 20171026: 3.5 female Suckling from gf0048 who has small tusks showing in 2017 10,20160522,2,,,,gf0048c,2014,1,,f,√,,1,,,
,gf0056,O,,1,,,4,20190928 seen Suckling and following,20190928,2,,,,gf0056c,2017,1,,f,√,yes (tuskless),,1,,
Nomada,gf0003,C,,1,,,4,20161028 noted with her; 20190929 in a group of four with her; 20191006 following her,20161028,2,,,,gf0003c,2014,,1,m,√,,1,,,
iJunia,gf0005,I,,1,,,4,photographed Suckling on 20161031,20161031,2,,,,gf0005c,2014,,1,m,,yes,1,,,
,unknown tuskless female 1,,,1,,,4,20150524 photographed on trail cameras with two calves the younger one Suckled,20150524,2.5,,,,unknown ,2015,1,,f,exclude,,,,,
Cacia,gf0029,C,,1,,,4,20190929 seen Suckling and on 20190930 trying to suckle on 20190930;,20190929,3,,,,gf0029c,2016,1,,f,√,,1,,,
Iria,gf0045,I,,1,,,4, 20171009 female of 4 with Iria in small group of 6 with just Iria as an adult; 20161016 Definitely seen suckling a calf almost 4 yrs old with two tusks  - unless this is a daughter’s calf? So unless my ageing is off? 20161031 definitely following with two tusks 20150522 following closely a female with just emerging tusks - definitely female!,20161031,3,,,,gf0045c,2013,1,,f,√,yes,1,,,
,gf0097,N,,1,,,4,20150608 gf0097 photographed on trail camera DOUBLE-SUCKLED two calves for two minutes. A male of 7 and another calf of age 3. 201610 the 2012 calf is female,20150608,3,,,,gf0097c,2012,1,,f,√,,1,,,
,gf0184,S,,1,,,4, 20161027 EV footage - by her side and trying to Suckle,20161027,3,,,,gf0184c,2013,1,,f,√ but not great look,yes,,,,
Isabella,gf0038,I,,1,,,4,Photographed Suckling her over a couple of years; Twice Photographed DOUBLE-SUCKLING him with 2014 calf ck dates),,3,,,,gf0038c,2011,,1,m,,,1,,,
Corajosa,gf0054,C,,1,,,4,20161031: photographed and filmed trying to suckle; seen in 2017 suckling definitive photograph from 20171010 1628; 20160517 a calf trying to Suckle during a Group-Advance on us - no tusks yet 20171027 I write male born late 2013 but must be more like late 2014 if no tusks in late 2016,20160517,3,,,,gf0054c,2014,,1,m,,yes,1,,,
Celina,gf0085,C,,1,,,4,"20161031: can see tusks in the photographs of the incidence with his lost sister; 20171026: gf0085, with female 8, male 5",20161031,3,,,,gf0085c,2013,,1,m,,,1,,,
Bullet-Hole,gf0032,C,,1,,,4,"20160513 she has a tuskless female about 3-4 with her Note from 20171026: gf0032, calf 4, male 7, female 10; 20160517 during altercation with us she also has the 2010 m and 2013 f near her",20160513,3.5,,,,gf0032c,2013,1,,f,√,yes (tuskless),,1,,
,gf0056,O,,1,,,4,seen following when younger,2012,4,,,,gf0056c,2008,1,,f,√,yes (tuskless),,1,,
,gf0213,T,,1,,,4,20160826 from Trail camera notes: gf0213 has an infant 1 yr and a four year female and a 6 year one right tusk female with her. Perhaps the one tusk is older or belongs to someone else.,20160826,4,,,,gf0213c,2012,1,,f,√,,1,,,
Nomada,gf0003,C,,1,,,4,20121019 Suckling from her;  20160525 followed by a 4.5 male and 7 year old male - she was off separately with these two calves,20121019,4,,,,gf0003c,2008,,1,m,√,yes,1,,,
,gf0058,O,,1,,,4,20121028 photographed with her,20121028,4.5,,,,gf0058c,2008,1,,f,√,yes (tuskless),,1,,
Iria,gf0045,I,,1,,,4,20161031 seen DOUBLE-SUCKLING 2011 female calf and 2015 male calf AND the 2016 calf - in both photos and video! 20171016 photographed Double-Suckling c2011 female and male c2016,20161031,5,,,,Ilaria gf0243,2011,1,,f,√,yes (tuskless),,1,,
,gf0140,N,,1,,,4,20150917 photographed on trail cameras with 3 calves a tuskless female about 8 a 2 tusked female about 5 and a calf about 2-3. The one with tusks is leaning up against her; 20160722 photographed again,20150917,5,,,,gf0140c,2010,1,,f,√,,1,,,
,gf0184,S,,1,,,4, 20161027 EV footage - by her side; 20161104 1635 photo taken of Suckling,20161104,5,,,,gf0184c,2011,1,,f,√,yes,1,,,
Nomada,gf0003,C,,1,,,4,20121019 seen trying to Suckle from her; 20160525 followed by a 4.5 male and 7 year old male - she was off separately with these two calves; 20190929 noted very close with her in small  group of 4; 20191006 following her.,20160525,5,,,,gf0003c,2011,,1,m,√,,1,,,
Camelia,gf0028,C,,1,,,4,201208 (I think) In this slo-mo clip gf0028 (tuskless on the left) moves toward other members of her family with her 5.5 year old male calf in tow. A male of the correct age is seen following her on 20190930,201209,5,,,,gf0028c,2008,,1,m,√,,1,,,
,gf0070,T,,1,,,4,20131012 seen with her in a small group; ,20131012,5,,,,gf0070c,2008,,1,m,√,yes,1,,,
Tatiana,gf0131,T,,1,,,4,20150611 From ID card and trail camera photo taken 2015 with a closely associated female calf about 8 months and a male 5 - male with erection,20150611,5,,,,gf0131c,2010,,1,m,√,yes,1,,,
,gf0213,T,,1,,,4,20160826 from Trail camera notes: gf0213 has an infant 1 yr and a four year female and a 6 year one right tusk female with her. Perhaps the one tusk is olde or belongs to someone else.,20160826,6,,,,gf0213c,2010,1,,f,√,,,,,1
iJunia,gf0005,I,,1,,,4,20121019 first seen with her as 6 year old; seen in close behavioral association since a calf,20121019,6,,,,Ignacio gm0204,2006,,1,m,,yes,1,,,
Mwana Nzo,gf0016,M,,1,,,4,2013-10-19 A 6-7 yr male filmed and photographed Suckling Mwana Nzo and a few minutes later a less than 1 yr calf was suckling her; possibly due to very rich habitat. (SUCKLING TWO CALVES),20131019,6,,,,gf0016c,2007,,1,m,√,yes,1,,,
Bullet-Hole,gf0032,C,,1,,,4,20161031: seen with a male aged 6 or 7; in the middle of defensive action he tries to Suckle - busy pushing on mother then goes to other side as if to try there; 20160513 male age ~6 by her side,20160513,6,,,,gf0032c,2010,,1,m,,yes,1,,,
Valda,gf0068,V,,1,,,4,20161020 and 20170526 seen right next to her with his half severed trunk,20161020 CK EARLIER,6,,,,gf0068c,2010,,1,m,√,,1,,,
Celina,gf0085,C,,1,,,4,"20161031: She got left behind - Photographed screaming and running toward gf0085 who went back to rescue her and together with younger calf had a big vocal reunion - note infant not with her at this point; 20171026: gf0085, with female 8, male 5",20161031,7,,,,gf0085c,2009,1,,f,√,yes (tuskless),,1,,
Iria,gf0045,I,,1,,,4,20171009 male photographed with her along with 5 calves - now that I have saved his photograph he is by her side on many occasions eg 20161029 and 20161031 has a small notch and hole in upper left ear,20161029 ck earlier,7,,,,gf0045c,2009,,1,m,√,,1,,,
,gf0097,N,,1,,,4,20150608 gf0097 photographed on trail camera DOUBLE-SUCKLED two calves for two minutes. A male of 7 and another calf of age 3. ,20150608,7,,,,gf0097c,2008,,1,m,,,1,,,
,gf0140,N,,1,,,4,20150917 photographed on trail cameras with 3 calves a tuskless female about 8 a 2 tusked female about 5 and a calf about 2-3. The one with tusks is leaning up against her; 20160722 photographed again; 20160810 photographed on trail camera with her,20150917,8,,,,gf0140c,2007,1,,f,√,yes (tuskless),,1,,
Cacia,gf0029,C,,1,,,4,20161027 seen Ear-Brushing; 20161029 seen following her; 20190929 & 20190930 seen near and following her; 20191006 with her; pregnant,20161027,9,,,,gf0186,2007,1,,f,√,yes,,,1,
,gf0026,M,,1,,,3,20151024 photographed with infant by her side,20151024,0.08,1 CK,,,gf0026c,2015,1,,f,difficult to confirm - exclude,yes,,,,
,gf0176,Z,,1,,,3,20160704 photographed with very full breasts and an infant nearby - infant appears to be female but hard to be sure; 20161029  also look like may be female,20160704,0.33,4,,,gf0176c,2016,,,unk,,,,,,
,gf0080,C,,1,,,3,20161029 is with a <6 month calf,20161029,0.42,5,,,gf0080c,2016,,1,m,,yes,,,,
Berta,gf0009,B,,1,,,3,20161026 Infant by her side; 20161027 Infant running with her in a group-charge and with her on 20161026; also in 20161027 EV footage definitely female,20161026,0.5,6,,,gf0009c,2016,1,,f,√,yes,,,,
Celina,gf0085,C,,1,,,3,20161031 female infant seen near to gf0085 and gf0153 - both tuskless,20161031,0.5,,,,gf0085c,2016,1,,f,√,,,,,
,gf0183,Z,,1,,,3,20161020 photographed following her closely down bank on trail camera,20161020,0.5,6,,,gf0183c,2016,1,,f,exclude,blurry but feel 90% sure,,,,
Ines,gf0048,I,,1,,,3,"20190928 gf0048 has a chopped trunk and is followed by three calves: a six month old, a one year old and females calves one 4 and one 5 both with tusks.",20190928,0.5,,,,gf0048c,2019,,,unk,,,,,,
,gf0103,CB,,1,,,3,20151027 photographed on trail cameras with two infants following her - I think they may be twins - one male one female,20151027,0.83,10,,,gf0103,2015,1,,f,√,,,,,
,gf0103,CB,,1,,,3,20150513 with tiny twins; 20151027 photographed on trail cameras with two infants following her - I think they may be twins - one male one female,20151027,0.83,10,,,gf0103,2015,,1,m,,,,,,
,gf0111,A,,1,,,3,20171010 1642 seen following - but not a perfect sighting,20171010,1,,,,gf0111c,2016,,1,m,,,,,,
Isabella,gf0038,I,,1,,,3,20191008 seen with a one year old calf but hard to see exactly how old with high vegetation,20191012,1,,,,gf0038c,2018,,,unk,,,,,,
,gf0189,V,,1,,,3,20161020 has small calf by her side,20161020,1,,,,gf0189c,2016,,,unk,,,,,,
,gf0229,BB,,1,,,3,20170604,20170604,1.5,,,,gf0229c,2016,1,,f,√,yes (tuskless),,1,,
,gf0200,,,1,,,3,20161024 photographed on trail cameras with a calf about 18 months,20161024,1.5,,,,gf0200c,2014,,,unk,,,,,,
Camila,gf0004,C,,1,,,3,20150528 calf and siblings wait anxiously for gf0004 to arrive and walk with her; 20161027 in EV footage just showing tusks - seems to be female,20150528,2,,,,gf0004c,2013,1,,f,need to confirm,yes,1,,,
,gf0044,F,,1,,,3,20160510 likely hers as only tuskless calf in group and mother is tuskless and other female’s calves accounted for,20160510,2,,,,gf0044c,2014,1,,f,√,yes (tuskless),,1,,
Iria,gf0045,I,,1,,,3,20191009 with her; 20150522 photographed following her; 20161031 photographed with her ; check earlier photos - check to see if these are same two individuals,20150522,2,,,,gm0210,2007,,1,m,,yes,1,,,
,gf0140,N,,1,,,3,20150917 photographed on trail cameras with 3 calves a tuskless female about 8 a 2 tusked female about 5 and a calf about 2-3. The one with tusks is leaning up against her; 20160722 not seen,20150917,2.5,,,,gf0140c,2013,1,,f,√,,1,,,
,gf0195,,,1,,,3,20161024 photographed on trail camera by her side,20161024,2.5,,,,,2014,,1,m,,,1,,,
